B0959-54;1.436583;130.32;150.408250;-55.118528;0.41;
J1001-5559;1.661177;159.30;150.285833;-55.983389;0.43;
J1001-5939;7.733640;113.00;150.384292;-59.654944;1.24;
J1002-5559;0.777501;426.00;150.741250;-55.993611;3.27;
J1002-5919;0.713489;347.00;150.585417;-59.327000;3.17;
B1001-47;0.307072;98.10;150.839917;-47.783889;0.37;
J1006-6311;0.835797;195.99;151.652500;-63.194778;2.38;
J1010+15;*;42.00;152.500000;15.850000;25.00;
B1010-23;2.517945;22.51;153.140527;-23.639561;0.98;
J1012-4235;0.003101;71.60;153.029167;-42.583333;0.37;
J1012+5307;0.005256;9.02;153.139323;53.117306;0.80;
J1012-5830;2.133591;294.00;153.228750;-58.507111;2.80;
B1011-58;0.819911;383.90;153.202083;-58.961111;3.18;
J1013-5934;0.442901;379.78;153.382725;-59.574083;3.14;
J1014-48;1.508800;87.00;153.575000;-48.828333;0.38;
J1015-5719;0.139882;278.70;153.908167;-57.320222;2.73;
B1014-53;0.769584;66.80;154.130000;-53.753833;0.12;
J1016-5819;0.087834;252.10;154.050417;-58.316986;2.59;
J1016-5857;0.107386;394.20;154.088167;-58.953361;3.16;
B1015-56;0.503459;438.70;154.303583;-56.358528;3.51;
J1017-7156;0.002339;94.22;154.463868;-71.944902;1.81;
B1016-16;1.804695;48.82;154.668190;-16.702816;25.00;
J1019-5749;0.162499;1039.40;154.967250;-57.818306;10.90;
J1020-5921;1.238305;80.00;155.058458;-59.359444;0.94;
J1020-6026;0.140480;445.00;155.047500;-60.435222;3.27;
J1021-5601;0.670026;212.00;155.353417;-56.030806;2.43;
J1022+1001;0.016453;10.25;155.741664;10.031329;0.69;
J1022-5813;1.643726;714.00;155.617083;-58.225000;4.24;
J1023+0038;0.001688;14.32;155.948697;0.644679;1.06;
J1023-5746;0.111472;*;155.762083;-57.768056;*;
J1024-0719;0.005162;6.49;156.161114;-7.322110;0.38;
J1028-5819;0.091403;96.53;157.116667;-58.318111;1.42;
J1031-6117;0.306411;506.80;157.759333;-61.297389;3.38;
J1032-5206;2.407622;139.00;158.115375;-52.102361;2.10;
B1030-58;0.464208;418.20;158.029167;-59.166667;3.01;
J1034-3224;1.150590;50.75;158.581296;-32.407217;1.64;
J1035-6345;0.579577;189.70;158.762833;-63.755114;2.17;
J1036-4926;0.510368;136.53;159.054471;-49.439381;2.31;
J1036-6559;0.533502;158.36;159.083500;-65.985908;2.05;
J1036-8317;0.003408;27.00;159.000000;-83.283333;0.93;
J1038+0032;0.028852;26.59;159.612221;0.545444;4.25;
B1036-58;0.661992;72.74;159.582083;-58.524217;0.92;
B1039-19;1.386368;33.78;160.400817;-19.703781;2.53;
B1039-55;1.170859;306.50;160.502542;-55.351528;2.79;
J1043-6116;0.288602;449.20;160.980375;-61.280778;3.06;
J1044-5737;0.139029;*;161.136667;-57.622028;*;
J1045-4509;0.007474;58.14;161.459112;-45.165034;0.34;
J1046+0304;0.326271;25.30;161.680125;3.068583;4.23;
B1044-57;0.369427;240.20;161.578625;-58.231056;2.34;
J1047-3032;0.330328;52.54;161.753390;-30.538334;2.15;
J1047-6709;0.198451;116.16;161.867842;-67.164185;1.76;
J1048+2339;0.004665;16.65;162.180910;23.664836;2.00;
B1046-58;0.123671;129.10;162.050833;-58.534944;1.79;
J1048-5838;1.231305;70.70;162.052338;-58.638617;1.01;
J1049-5833;2.202325;446.80;162.459750;-58.562389;3.00;
J1050-5953;6.452077;*;162.529667;-59.889278;*;
J1052-5954;0.180592;491.00;163.158792;-59.912250;3.14;
J1052-6348;0.383830;167.50;163.222458;-63.804611;1.99;
J1054-5943;0.346909;330.70;163.740625;-59.720583;2.58;
J1054-5946;0.228324;253.90;163.626917;-59.775278;2.33;
J1054-6452;1.840004;234.00;163.536833;-64.877083;2.34;
J1055-6022;0.947558;590.00;163.952083;-60.381111;3.60;
